skipped,baseline,4
skipped,ssa,4
skipped,ref_ssa,4
ani_ex_OOO,baseline,13
ani_ex_OOO,ssa,13
ani_ex_OOO,ref_ssa,13
loop-orig,baseline,26
loop-orig,ssa,41
loop-orig,ref_ssa,37
double,baseline,6
double,ssa,6
double,ref_ssa,6
ani_ex_complex,baseline,13
ani_ex_complex,ssa,13
ani_ex_complex,ref_ssa,13
sum_mul,baseline,missing
sum_mul,ssa,missing
sum_mul,ref_ssa,missing
simple,baseline,5
simple,ssa,5
simple,ref_ssa,5
redundant,baseline,6
redundant,ssa,6
redundant,ref_ssa,6
redundant-dce,baseline,6
redundant-dce,ssa,6
redundant-dce,ref_ssa,6
reassign,baseline,3
reassign,ssa,3
reassign,ref_ssa,3
ani_ex1,baseline,6
ani_ex1,ssa,6
ani_ex1,ref_ssa,6
double-pass,baseline,missing
double-pass,ssa,missing
double-pass,ref_ssa,missing
ani_same_const_test,baseline,9
ani_same_const_test,ssa,9
ani_same_const_test,ref_ssa,9
diamond,baseline,6
diamond,ssa,7
diamond,ref_ssa,7
combo,baseline,missing
combo,ssa,missing
combo,ref_ssa,missing
ani_ex_multi,baseline,16
ani_ex_multi,ssa,16
ani_ex_multi,ref_ssa,16
reassign-dkp,baseline,missing
reassign-dkp,ssa,missing
reassign-dkp,ref_ssa,missing
quadratic,baseline,785
quadratic,ssa,1487
quadratic,ref_ssa,1487
primes-between,baseline,574100
primes-between,ssa,877571
primes-between,ref_ssa,877571
birthday,baseline,484
birthday,ssa,921
birthday,ref_ssa,839
orders,baseline,5352
orders,ssa,8340
orders,ref_ssa,8010
sum-check,baseline,5018
sum-check,ssa,8021
sum-check,ref_ssa,8021
palindrome,baseline,298
palindrome,ssa,498
palindrome,ref_ssa,498
totient,baseline,253
totient,ssa,541
totient,ref_ssa,541
relative-primes,baseline,1923
relative-primes,ssa,2938
relative-primes,ref_ssa,2938
hanoi,baseline,99
hanoi,ssa,129
hanoi,ref_ssa,129
is-decreasing,baseline,127
is-decreasing,ssa,203
is-decreasing,ref_ssa,203
check-primes,baseline,8468
check-primes,ssa,16644
check-primes,ref_ssa,16644
sum-sq-diff,baseline,3038
sum-sq-diff,ssa,5664
sum-sq-diff,ref_ssa,5268
fitsinside,baseline,10
fitsinside,ssa,10
fitsinside,ref_ssa,10
fact,baseline,229
fact,ssa,249
fact,ref_ssa,249
loopfact,baseline,116
loopfact,ssa,215
loopfact,ref_ssa,200
recfact,baseline,104
recfact,ssa,111
recfact,ref_ssa,111
factors,baseline,72
factors,ssa,128
factors,ref_ssa,128
perfect,baseline,232
perfect,ssa,430
perfect,ref_ssa,430
bitshift,baseline,167
bitshift,ssa,191
bitshift,ref_ssa,191
digital-root,baseline,247
